שם,תיאור,אזור,עיר,כתובת,טלפון,קטגוריה,סוג,שעות פתיחה,כשר,נגישות לנכים,אתר אינטרנט,משלוחים,חדש,latitude,longitude
אולה,תפריט כשר ומגוון,אילת,אילת,תרשיש 7,08-6325566,מסעדה,"בשרים,דגים","א-ה: 13:00-24:00
שישי: 13:00 עד שעה לכניסת השבת
שבת: מוצ""ש - 24:00",כשר,Y,olla-tapas.co.il,N,N,29.551109,34.957545
אנג'לינה פיצה ופסטה,מסעדה איטלקית,אילת,אילת,"טיילת המלך , מלון המלך שלמה",08-6363439,מסעדה,איטלקי,"א-ה: 19:00-23:00
שישי: 
שבת: מוצ""ש -23:00",כשר,Y,angelinapizzapasta.rest.co.il,N,N,29.557669,34.951925
מרינה גריל,מסעדת בשרים,אילת,אילת,"טיילת המלך, מלון המלך שלמה",08-6363439,מסעדה,"בשרים,ים תיכוני,צרפתי","א-ה: 19:00-23:00
שישי: 
שבת: מוצ""ש - 23:00",כשר,Y,,N,N,29.557669,34.951925
קאזה דו ברזיל,מסעדת גריל ברזילאית,אילת,אילת,חטיבת גולני 3,08-6323032,מסעדה,בשרים,"א-ה: 12:00-24:00
שישי: 12:00-24:00
שבת: 12:00-24:00",,N,www.casadobrasil.co.il,N,N,29.559034,34.955115
קפה קפה,בית קפה,אילת,אילת,קניון פארק הקרח רחוב קאופמן 8,08-6526255,בית קפה,בית קפה,"א-ה: 
שישי: 
שבת: "," חלבי כשר למהדרין, בהשגחת הבד""ץ בית יוסף",N,cafecafeeilat.rest.co.il,N,N,29.554534,34.966628
קפה קפה,בית קפה,דרום,דימונה,קניון פרץ סנטר,08-6640494,בית קפה,בית קפה,"א-ה: 
שישי: 
שבת: ",,N,www.cafecafe.co.il/he/home/a/main,N,N,31.060876,35.019725
קפה קפה,בית קפה,דרום,נתיבות,בעלי המלאכה 203,050-2007220,בית קפה,בית קפה,"א-ה: 
שישי: 
שבת: ",כשר למהדרין-חלבי,N,www.cafecafe.co.il/he/home/a/main,N,N,31.418213,34.595217
קפה קפה,בית קפה,דרום,קריית גת,"תחנת דלק סונול, צומת פלוגות",08-6602056,בית קפה,בית קפה,"א-ה: 
שישי: 
שבת: ",,N,www.cafecafe.co.il/he/home/a/main,N,N,31.626405,34.758659
אלמוג על הדרך,מזנון דרכים,ירושלים,אלמוג,צומת אלמוג,02-9941606,בית קפה,בית קפה,"א-ה: 24 שעות
שישי: 24 שעות
שבת: 24 שעות",,N,,N,N,31.801619,35.450751
כרמא,תפריט עשיר ומגוון,ירושלים,ירושלים,עין כרם 74, 02-6436643,מסעדה,"איטלקי,בשרים,דגים","א-ה: 10:00-24:00
שישי: 10:00-24:00
שבת: 10:00-24:00",,N,www.karma-rest.co.il/he/home/a/main/#home/1,N,N,31.779489,35.162464
