חברה,שם,קטגוריה,אתר אינטרנט,כתובת,טלפון,קניות אונליין,אזור,חדש,latitude,longitude
DAFNI,חנות אינטרנטית משלוחים לכל הארץ,טיפוח וקוסמטיקה,dafni.co,", ",,Y,מרכז,Y,0.0005228720097063821,-0.000011569851581116684
MALU WILZ,MALU WILZ,טיפוח וקוסמטיקה,maluwilz-israel.co.il/,", חנות אינטרנטית",חנות אינטרנטית,Y,מרכז,N,0.000404742857654862,-0.0003312283489941285
ONYX,ONYX,טיפוח וקוסמטיקה,onyxradiance.co.il/,", חנות אינטרנטית",,Y,מרכז,N,0.0003221935329229505,-0.00041197127004516675
pelle,חנות אינטרנטית ,טיפוח וקוסמטיקה,pelle-sg.co.il,", חנות אינטרנטית - משלוחים לכל הארץ ",,Y,מרכז,Y,0.000303655310408687,-0.00042581974174596925
Puremagics,חנות אינטרנטית ,טיפוח וקוסמטיקה,www.astain.co.il,", חנות אינטרנטית",,Y,מרכז,N,0.0002239381314962582,-0.0004726316888042576
REMEDY,חנות אינטרנטית,טיפוח וקוסמטיקה,aremedy.co.il,"רמת דוד, קיבוץ רמת דוד",050-454-9091,Y,צפון,N,0.00018129058365096994,-0.00049057387239792
ROCIO  ,ROCIO,טיפוח וקוסמטיקה,rocio.co.il/,"חנות אינטרנטית, חנות אינטרנטית",חנות אינטרנטית,Y,מרכז,N,0.00015941341704332496,-0.0004981128009463027
ROYAL CARE ,חנות אינטרנטית ,טיפוח וקוסמטיקה,market.royalcare.co.il,", ",חנות אינטרנטית,Y,מרכז,N,0.00013722419118575521,-0.0005046766502954296
אילן גורי,חנות אינטרנטית,טיפוח וקוסמטיקה,guripro.com,", חנות אינטרנטית",,Y,מרכז,N,-0.0003401010464662919,-0.0003973163452370582
לילית קוסמטיקה,לילית קוסמטיקה,טיפוח וקוסמטיקה,lilit.co.il,", חנות אינטרנטית",,Y,מרכז,N,-0.00037388503070925726,0.000365703409625256
מינוס 417,חנות אינטרנטית ,טיפוח וקוסמטיקה,www.minus417.com/he/,", ",,Y,מרכז,N,-0.0003221935329229505,0.00041197127004516664
ללין,קניון עזריאלי,טיפוח וקוסמטיקה,www.laline.co.il,"תל אביב, דרך מנחם בגין 132",054-3345030,N,מרכז,N,32.07444598433188,34.791717717715386
סבון של פעם,קניון עזריאלי,טיפוח וקוסמטיקה,,"תל-אביב, דרך מנחם בגין 132",03-5472443,N,מרכז,N,32.07442368412694,34.79185851566812
סבון של פעם,קניון עיר ימים,טיפוח וקוסמטיקה,,"נתניה, בני ברמן 2",09-8852363,N,שרון,N,32.27871677789086,34.84675215695822
