חברה,שם,קטגוריה,אתר אינטרנט,כתובת,טלפון,קניות אונליין,אזור,חדש,latitude,longitude
dollybox ,חנות אינטרנטית ,אביזרי מטבח,dollybox.co.il,"חנות אינטרנטית, ",,Y,מרכז,Y,0.0005559706979588684,0.000005708153040073289
FOX home,קניון עיר ימים,אביזרי מטבח,www.foxhome.co.il,"נתניה, בני ברמן 2",09-7720343,Y,שרון,N,32.27891575660332,34.84689672345498
FOX home,קניון אבנת,אביזרי מטבח,www.foxhome.co.il,"פתח תקווה, זבוטינסקי 72",03-6039617,Y,מרכז,N,32.09327024671882,34.86567911068884
נעמן פורצלן,פתח תקווה אבנת,אביזרי מטבח,www.naamanp.co.il,"פתח תקווה, ז'בוטינסקי 72",03-9214559,N,מרכז,N,32.09305382709489,34.86555898799804
FOX home,קניון הקריון,אביזרי מטבח,www.foxhome.co.il,"קרית ביאליק, דרך עכו 192",04-8715114,Y,צפון,N,32.84215688024125,35.08899291481805
FOX home,גרנד קניון,אביזרי מטבח,www.foxhome.co.il,"באר שבע, שד' דוד טוביהו 125",08-6847885,Y,דרום,N,31.25262677466059,34.76878059630371
נעמן פורצלן,באר שבע גרנד,אביזרי מטבח,www.naamanp.co.il,"באר שבע, שד' דוד טוביהו 125",08-8504306,N,דרום,N,31.252420418279197,34.76866715092303
נעמן פורצלן,קניון חוצות המפרץ,אביזרי מטבח,www.naamanp.co.il,"קרית חיים, החרושת 5 צומת וולקן",04-8418349,N,צפון,N,32.80643158950223,35.05492347811502
FOX home,גרנד קניון,אביזרי מטבח,www.foxhome.co.il,"חיפה, שמחה גולן 54",04-8578563,Y,צפון,N,32.78978592761247,35.0079966019842
סולתם רדד,גרנד קניון חיפה,אביזרי מטבח,www.soltam.co.il,"חיפה, דרך שמחה גולן 54",04-8324051,N,צפון,N,32.78953282709489,35.00788798799804
FOX home,מתחם G,אביזרי מטבח,www.foxhome.co.il,"כפר סבא, ויצמן 301",09-9562392,Y,שרון,N,32.17049464504164,34.928457893585744
FOX home,דיזנגוף סנטר,אביזרי מטבח,www.foxhome.co.il,"תל-אביב, דיזנגוף סנטר",03-5285256,Y,מרכז,N,32.07535700371826,34.77550765585522
FOX home,סטאר סנטר,אביזרי מטבח,www.foxhome.co.il,"אשדוד, ז'בוטינסקי 47",08-6651054,Y,דרום,N,31.810598922406765,34.653475397354704
Food appeal,בני ברק ,אביזרי מטבח,www.foodappeal-online.com,"בני ברק, אהרונוביץ 12",03-7524060,Y,מרכז,N,32.090568,34.838843
Food appeal,ירושלים ,אביזרי מטבח,www.foodappeal-online.com,"ירושלים, ירמיהו 24",02-6630212,Y,ירושלים,N,31.792680,35.209630
Food appeal,באר שבע ,אביזרי מטבח,www.foodappeal-online.com,"באר שבע, התקווה 4, קניון קריית הממשלה ",08-6655941,Y,דרום,N,31.245315,34.799277
Food appeal,קריית אתא,אביזרי מטבח,www.foodappeal-online.com,"קרית אתא, קניון שער הצפון, דרך חיפה 30",04-6723643 ,Y,צפון,N,32.803020,35.075850
Food appeal,תל אביב - גן העיר ,אביזרי מטבח,www.foodappeal-online.com,"תל אביב, אבן גבירול 72",03-6832172,Y,מרכז,N,32.082212,34.781174
Food appeal,חדרה,אביזרי מטבח,www.foodappeal-online.com,"חדרה, שכטמן 10, מול החוף וילג' ",04-6575711,Y,צפון,N,32.441407,34.893667
Food appeal,אשקלון,אביזרי מטבח,www.foodappeal-online.com,"אשקלון, מתחם גלובוס סנטר אשקלון ",,Y,דרום,N,31.626950,34.583674
Food appeal,נתיבות ,אביזרי מטבח,www.foodappeal-online.com,"נתיבות, צים סנטר, בעלי המלאכה 5",08-6989047,Y,דרום,N,31.417014,34.594050
Food appeal,רמת גן,אביזרי מטבח,www.foodappeal-online.com,"רמת גן, קניון ביאליק, ביאליק 76",,Y,מרכז,N,32.085481,34.811688
Food appeal,ירושלים ,אביזרי מטבח,www.foodappeal-online.com,"ירושלים, קניון הדר, פייר קינג 26",,Y,ירושלים,N,31.753221,35.214011
Food appeal,ראשון לציון,אביזרי מטבח,www.foodappeal-online.com,"ראשון לציון, מתחם חונים בונים, יוסף לישנסקי 9",,Y,מרכז,N,31.990610,34.765580
Food appeal,רמת גן ,אביזרי מטבח,www.foodappeal-online.com,"רמת גן, מרכז מסחרי, בית החולים שיבא תל השומר",,Y,מרכז,N,32.050620,34.841790
Food appeal,קריית ביאליק,אביזרי מטבח,www.foodappeal-online.com,"קריית ביאליק, קניון עופר, הקריון, דרך עכו 192",04-8408664,Y,צפון,N,32.843820,35.089890
Food appeal,פתח תקווה,אביזרי מטבח,www.foodappeal-online.com,"פתח תקווה, קניון הכיכר, העצמאות 63",03-5242352,Y,מרכז,N,32.074730,34.869130
Food appeal,גבעתיים,אביזרי מטבח,www.foodappeal-online.com,"גבעתיים, קניון עזריאלי יצחק רבין 53",,Y,מרכז,N,32.066950,34.809910
Food appeal,כפר סבא,אביזרי מטבח,www.foodappeal-online.com,"כפר סבא, כצנלסון 14, קניון ערים",,Y,שרון,N,32.177730,34.903380
Food appeal,רענננה,אביזרי מטבח,www.foodappeal-online.com,"רעננה, המלאכה 2",,Y,שרון,N,32.197468,34.879262
Food appeal,כפר יונה,אביזרי מטבח,www.foodappeal-online.com,"כפר יונה, דוד בן גוריון 1",,Y,שרון,N,32.320817,34.936043
Food appeal,בני ברק ,אביזרי מטבח,www.foodappeal-online.com,"בנ ברק, רבי עקיבא 116",,Y,מרכז,N,32.085743,34.834240
Food appeal,באר שבע - גרנד קניון ,אביזרי מטבח,www.foodappeal-online.com,"באר שבע, שדרות דוד טוביהו 125",,Y,דרום,N,31.25053,34.771723
Food appeal,רחובות ,אביזרי מטבח,www.foodappeal-online.com,"רחובות, ביל""ו 2",,Y,מרכז,N,31.893270,34.806781
Food appeal,מודיעין,אביזרי מטבח,www.foodappeal-online.com,"מודיעין, לב העיר 2, קניון עזריאלי",,Y,מרכז,N,31.899751,35.008266
Food appeal,עכו ,אביזרי מטבח,www.foodappeal-online.com,"עכו, החרושת 2 קניון עזריאלי ",,Y,צפון,N,32.922903,35.081188
Food appeal,ראש העין - אולם תצוגה,אביזרי מטבח,www.foodappeal-online.com,"ראש העין, שלום מנצורה 1",,Y,מרכז,N,32.105004,34.942168
FOX home,מרכז ביג,אביזרי מטבח,www.foxhome.co.il,"אילת, הסתת 20",08-6339833,Y,אילת,N,29.566609,34.959326
FOX home,איירפורט סיטי,אביזרי מטבח,www.foxhome.co.il,"לוד, ערבה קרית שדה התעופה",03-6525923,Y,מרכז,N,31.984539,34.914055000000005
FOX home,פאוור סנטר סילבר,אביזרי מטבח,www.foxhome.co.il,"אשקלון, צומת כפר סילבר",08-6635933,Y,דרום,N,31.674518,34.609113
FOX home,קניון הנגב,אביזרי מטבח,www.foxhome.co.il,"באר שבע, צומת אלי כהן",08-6586878,Y,דרום,N,31.24423,34.792395
FOX home,מתחם ביג,אביזרי מטבח,www.foxhome.co.il,"באר שבע, דרך חברון 21",08-6655523,Y,דרום,N,31.243857,34.809928
נעמן פורצלן,באר שבע ביג,אביזרי מטבח,www.naamanp.co.il,"באר שבע, דרך חברון 21",08-6652972,N,דרום,N,31.243708294029293,34.80980322087483
FOX home,"ביל""ו סנטר",אביזרי מטבח,www.foxhome.co.il,"קרית עקרון, צומת בילו קרית עקרון",08-9455612,Y,מרכז,N,31.872098,34.818710
FOX home,קניון Big Fashion,אביזרי מטבח,www.foxhome.co.il,"בית שמש, יגאל אלון 1",02-5826776,Y,ירושלים,N,31.756278,34.987452999999995
נעמן פורצלן,בית שמש ביג,אביזרי מטבח,www.naamanp.co.il,"בית שמש, יגאל אלון 3",02-5828403,N,ירושלים,N,31.756142949974684,34.9873548804132
FOX home,קניון גבעתיים,אביזרי מטבח,www.foxhome.co.il,"גבעתיים, דרך יצחק רבין 53",03-5367535,Y,מרכז,N,32.066486,34.810359000000005
FOX home,דלית אל כרמל,אביזרי מטבח,www.foxhome.co.il,"דלית אל כרמל, מתחם חצי חינם",04-6891269,Y,צפון,N,32.693796,35.055550000000004
FOX home,קניון שרונים,אביזרי מטבח,www.foxhome.co.il,"הוד השרון, הירקון 2",09-8917319,Y,שרון,N,32.097529,34.896206
