שם,תיאור,סוג,שעות פתיחה,כתובת,אתר אינטרנט,טלפון,משלוחים,כשרות,נגישות לנכים,קטגוריה,עיר,אזור,חדש,latitude,longitude
קפה קפה,בית קפה,בית קפה,"א-ה: 
שישי: 
שבת: ",קניון פרץ סנטר,www.cafecafe.co.il/he/home/a/main,08-6640494,ישיבה במסעדה,,N,בית קפה,דימונה,דרום,N,31.060876,35.019725
קפה קפה,בית קפה,בית קפה,"א-ה: 
שישי: 
שבת: ","בין מושב יפית לצומת פצאל מפגש הבקעה, כביש 90",www.cafecafe.co.il/he/home/a/main,02-9400808,ישיבה במסעדה,כשר,N,בית קפה,יפית,ירושלים,N,32.048331,35.463133
הרצל בר קפה,בית קפה,בית קפה,"א-ה: 10:00-לקוח אחרון
שישי: 10:30-לקוח אחרון
שבת: 11:00-לקוח אחרון",הרצל 209,herzl.rest.co.il,057-9375549,ישיבה במסעדה,,Y,בית קפה,רחובות,מרכז,N,31.901808,34.808807
קפה קפה,בית קפה,בית קפה,"א-ה: 
שישי: 
שבת: ",סוקולוב 48,www.cafecafe.co.il,03-5036699,ישיבה במסעדה,כשר,N,בית קפה,חולון,מרכז,N,32.022702,34.774442
קפה קפה,בית קפה מסעדה- חלבי,"בית קפה,חלבי","א-ה: 07:30-לקוח אחרון
שישי: 07:30-14:30
שבת: מוצ""ש-לקוח אחרון","קניון רמלוד, הצופית 40",www.cafecafe.co.il,08-9214639,ישיבה במסעדה,כשר למהדרין,Y,בית קפה,רמלה,מרכז,N,31.931315,34.890029
קפה קפה,בית קפה,בית קפה,"א-ה: 
שישי: 
שבת: ","קניון עזריאלי, קומה 2",www.cafecafe.co.il,03-6094770,ישיבה במסעדה,כשר למהדרין,N,בית קפה,תל אביב - יפו,מרכז,N,32.074322,34.792081
קפה קפה,בית קפה,בית קפה,"א-ה: 07:30-00:00
שישי: 
שבת: חצי שעה לאחר צאת השבת -00:00",אירוס 1,www.cafecafe.co.il,04-8704296,ישיבה במסעדה,כשר,N,בית קפה,קריית ים,צפון,N,32.842948,35.071047
קפה קפה,בית קפה,בית קפה,"א-ה: 
שישי: 
שבת: ",כביש 89 כניסה לכפר מעיליא,www.cafecafe.co.il,04-9966680,ישיבה במסעדה,,N,בית קפה,מעיליא,צפון,N,33.025217,35.253496
קפה קפה ,בית קפה,בית קפה,"א-ה: 
שישי: 
שבת: ",קניון נחמיה,www.cafecafe.co.il,04-6789220,ישיבה במסעדה, כשר למהדרין,Y,בית קפה,קריית שמונה,צפון,N,33.219706,35.576833
קפה קפה,בית קפה,בית קפה,"א-ה: 
שישי: 
שבת: ",הקריון - דרך עכו 192,www.cafecafe.co.il,04-8764100,ישיבה במסעדה,,N,בית קפה,קריית ביאליק,צפון,N,32.842186,35.088886
קפה קפה,חלבי,"בית קפה,חלבי","א-ה: 08:00-22:30
שישי: 08:00-שעתיים לכניסת שבת
שבת: מוצ""ש - 23:00",גרנד קניון שדרות טוביהו 125,www.cafecafe.co.il/he/home/a/main,08-9918698,ישיבה במסעדה,כשר מהדרין,Y,בית קפה,באר שבע,דרום,N,31.252307,34.769776
קפה קפה,בשרי,בית קפה,"א-ה: 07:00-02:00
שישי: 07:00-02:00
שבת: 07:00-02:00",כמאל ג'מבלאט 1,www.cafecafe.co.il,04-6237802,ישיבה במסעדה,,Y,בית קפה,שפרעם,צפון,N,32.810198,35.165822
