שם,תיאור,סוג,שעות פתיחה,כתובת,אתר אינטרנט,טלפון,משלוחים,כשרות,נגישות לנכים,קטגוריה,עיר,אזור,חדש,latitude,longitude
אולה,תפריט כשר ומגוון,"בשרים,דגים","א-ה: 13:00-24:00
שישי: 13:00 עד שעה לכניסת השבת
שבת: מוצ""ש - 24:00",תרשיש 7,olla-tapas.co.il,08-6325566,ישיבה במסעדה,כשר,Y,מסעדה,אילת,אילת,N,29.551109,34.957545
אנג'לינה פיצה ופסטה,מסעדה איטלקית,איטלקי,"א-ה: 19:00-23:00
שישי: 
שבת: מוצ""ש -23:00","טיילת המלך , מלון המלך שלמה",angelinapizzapasta.rest.co.il,08-6363439,ישיבה במסעדה,כשר,Y,מסעדה,אילת,אילת,N,29.557669,34.952028000000006
מרינה גריל,מסעדת בשרים,"בשרים,ים תיכוני,צרפתי","א-ה: 19:00-23:00
שישי: 
שבת: מוצ""ש - 23:00","טיילת המלך, מלון המלך שלמה",,08-6363439,ישיבה במסעדה,כשר,Y,מסעדה,אילת,אילת,N,29.557669,34.951822
קאזה דו ברזיל,מסעדת גריל ברזילאית,בשרים,"א-ה: 12:00-24:00
שישי: 12:00-24:00
שבת: 12:00-24:00",חטיבת גולני 3,www.casadobrasil.co.il,08-6323032,ישיבה במסעדה,,N,מסעדה,אילת,אילת,N,29.559034,34.955115
קפה קפה,בית קפה,בית קפה,"א-ה: 
שישי: 
שבת: ",קניון פרץ סנטר,www.cafecafe.co.il/he/home/a/main,08-6640494,ישיבה במסעדה,,N,בית קפה,דימונה,דרום,N,31.060876,35.019725
קפה קפה,בית קפה,בית קפה,"א-ה: 
שישי: 
שבת: ",בעלי המלאכה 203,www.cafecafe.co.il/he/home/a/main,050-2007220,ישיבה במסעדה,כשר למהדרין-חלבי,N,בית קפה,נתיבות,דרום,N,31.418213,34.595217
קפה קפה,בית קפה,בית קפה,"א-ה: 
שישי: 
שבת: ","תחנת דלק סונול, צומת פלוגות",www.cafecafe.co.il/he/home/a/main,08-6602056,ישיבה במסעדה,,N,בית קפה,קריית גת,דרום,N,31.626405,34.758659
אלמוג על הדרך,מזנון דרכים,בית קפה,"א-ה: 24 שעות
שישי: 24 שעות
שבת: 24 שעות",צומת אלמוג,,02-9941606,ישיבה במסעדה,,N,בית קפה,אלמוג,ירושלים,N,31.801619,35.450751
כרמא,תפריט עשיר ומגוון,"איטלקי,בשרים,דגים","א-ה: 10:00-24:00
שישי: 10:00-24:00
שבת: 10:00-24:00",עין כרם 74,www.karma-rest.co.il/he/home/a/main/#home/1, 02-6436643,ישיבה במסעדה,,N,מסעדה,ירושלים,ירושלים,N,31.779489,35.162464
נויה ,מסעדת שף - לא כולל ארוחות עסקיות,"בשרים,ים תיכוני,צרפתי","א-ה: 12:00-24:00
שישי: 11:30-15:00
שבת: סגור",שלומציון המלכה 3,,02-6257311,ישיבה במסעדה,כשר למהדרין,Y,מסעדה,ירושלים,ירושלים,N,31.780043,35.221743
קפה קפה,בית קפה,בית קפה,"א-ה: 
שישי: 
שבת: ","בין מושב יפית לצומת פצאל מפגש הבקעה, כביש 90",www.cafecafe.co.il/he/home/a/main,02-9400808,ישיבה במסעדה,כשר,N,בית קפה,יפית,ירושלים,N,32.048331,35.463133
קפה קפה , בית קפה,בית קפה,"א-ה: 
שישי: 
שבת: ",שד' גולדה מאיר קניון רמות,www.cafecafe.co.il/he/home/a/main,02-5344848,ישיבה במסעדה,כשר למהדרין,Y,בית קפה,ירושלים,ירושלים,N,31.252584,34.774906
אייר קפה ,בית קפה,בית קפה,"א-ה: 08:00-לקוח אחרון
שישי: 08:00-14:00
שבת: מוצ""ש-לקוח אחרון","הערבה 2 , שדרות התעופה, נמל תעופה בן גוריון",www.2eat.co.il/aircaffe,03-9791812,ישיבה במסעדה,כשר,N,בית קפה,לוד,מרכז,N,31.996794,34.877521
בוצ'רי דה ברילוצ'ה ,בשרי,בשרים,"א-ה: 12:00-24:00
שישי: 12:00-24:00
שבת: 12:00-24:00",הברזל 4,butchery.co.il/,077-5309700,ישיבה במסעדה,,N,מסעדה,תל אביב - יפו,מרכז,N,32.106480,34.834695
הרצל בר קפה,בית קפה,בית קפה,"א-ה: 10:00-לקוח אחרון
שישי: 10:30-לקוח אחרון
שבת: 11:00-לקוח אחרון",הרצל 209,herzl.rest.co.il,057-9375549,ישיבה במסעדה,,Y,בית קפה,רחובות,מרכז,N,31.901808,34.808807
מקס ברנר,בית קפה מתוקים וקינוחים,"בית קפה,מתוקים-קינוחים","א-ה: 10:00- לקוח אחרון
שישי: 09:00- לקוח אחרון
שבת: 10:30 - לקוח אחרון",סחרוב 24,www.max-brenner.co.il,03-9522800,"ישיבה במסעדה,משלוחים",,N,מסעדה,ראשון לציון,מרכז,N,31.990550,34.772147
מקס ברנר ,בית קפה מתוקים וקינוחים,"בית קפה,מתוקים-קינוחים","א-ה: 10:00- לקוח אחרון
שישי: 09:00- לקוח אחרון
שבת: 09:00- לקוח אחרון",רוטשילד 45,www.max-brenner.co.il,03-5604570,"ישיבה במסעדה,משלוחים",,N,מסעדה,תל אביב - יפו,מרכז,N,32.064186,34.774800
סמיר,בשרים על האש,"בשרים,מזרחי","א-ה: ימים ב'-ה' 08:00-18:00
שישי: 08:00-19:00
שבת: 07:00-19:00",קהילת דטרויט 7,www.rol.co.il/sites/samir,08-9220195,ישיבה במסעדה,,N,מסעדה,רמלה,מרכז,N,31.925926,34.873077
פורטבלו,מסעדה חלבית כשרה,חלבי,"א-ה: 1200-2200
שישי: 
שבת: ",הירמוך 1 (בנין מול הצומת),,08-9330360,ישיבה במסעדה,כשר,Y,מסעדה,יבנה,דרום,N,31.887744,34.731081
פרונטו,מסעדת שף איטלקי,איטלקי,"א-ה: 12:30-24:00
שישי: 12:30-24:00
שבת: 12:30-24:00",הרצל 4,www.pronto.co.il,03-5660915,ישיבה במסעדה,,Y,מסעדת שף,תל אביב - יפו,מרכז,N,32.063336,34.769862
